Holding Period,Avg Trade Perf.,Win %,Avg Win,Loss %,Avg Loss,Std. Dev,Num. of Trades,Win/Loss Ratio,Avg Trade/Std Dev
2,-0.000553373,0.489550912,0.008953039,0.510449088,-0.009670584,0.018261813,2250,0.925801242,-0.03030217
3,-0.000753373,0.481761566,0.012349519,0.518238434,-0.012934001,0.022989995,2250,0.954810425,-0.032769593
4,-0.000741257,0.481975968,0.014561704,0.518024032,-0.014979321,0.025606184,2250,0.972120391,-0.028948366
5,-0.000642722,0.478183437,0.016409832,0.521816563,-0.016269379,0.026983422,2250,1.008632956,-0.02381913
6,-0.000397557,0.480623608,0.017955943,0.519376392,-0.017381627,0.028347153,2250,1.033041548,-0.014024572
7,-0.000324835,0.475490196,0.019237257,0.524509804,-0.018058694,0.029499049,2250,1.06526289,-0.011011716
8,-0.000376846,0.480606331,0.020132592,0.519393669,-0.019354679,0.031073293,2250,1.040192543,-0.012127655
9,-0.00010283,0.47323818,0.021287357,0.52676182,-0.019319585,0.031405128,2250,1.101853751,-0.003274292
10,0.000193399,0.46854083,0.022491604,0.53145917,-0.019464969,0.031675409,2250,1.155491398,0.00610564
11,2.83E-05,0.466964286,0.02321203,0.533035714,-0.020281649,0.032861224,2250,1.144484323,0.00086258
12,-0.000158434,0.475212148,0.023445032,0.524787852,-0.021532125,0.034254256,2250,1.08883964,-0.004625234
13,2.41E-06,0.471403038,0.024310358,0.528596962,-0.021675438,0.034718411,2250,1.121562461,6.93E-05
14,0.000148157,0.470719714,0.024576294,0.529280286,-0.021577206,0.034441872,2250,1.138993385,0.004301646
15,0.000351484,0.471824687,0.024819464,0.528175313,-0.021506026,0.03434795,2250,1.154070186,0.010233029
16,0.000517041,0.469798658,0.025201543,0.530201342,-0.021355303,0.034380195,2250,1.180107057,0.015038923
17,0.00058095,0.475828111,0.025291649,0.524171889,-0.021850709,0.035221563,2250,1.157475005,0.016494169
18,0.00071073,0.483206449,0.025633986,0.516793551,-0.022592731,0.035725089,2250,1.134612113,0.019894416
19,0.000671163,0.486111111,0.026028157,0.513888889,-0.023315183,0.036421801,2250,1.116360851,0.018427509
20,0.000799494,0.476019722,0.026655607,0.523980278,-0.022689979,0.036557666,2250,1.174774463,0.021869382
21,0.001073523,0.480717489,0.02676569,0.519282511,-0.02271059,0.036584262,2250,1.178555502,0.029343859
22,0.001259211,0.485419471,0.027164023,0.514580529,-0.023177587,0.037181172,2250,1.171995301,0.033866891
23,0.001351212,0.480251346,0.027645053,0.519748654,-0.022944478,0.037780763,2250,1.204867368,0.035764559
