Holding Period,Avg Trade Perf.,Win %,Avg Win,Loss %,Avg Loss,Std. Dev,Num. of Trades,Win/Loss Ratio,Avg Trade/Std Dev
2,-0.000167343,0.497333333,0.011550279,0.502666667,-0.01176064,0.026901084,2251,0.98211312,-0.00622068
3,-0.000237552,0.489106269,0.016467081,0.510893731,-0.016229803,0.034119278,2251,1.014619895,-0.006962399
4,-0.000418271,0.487099644,0.019592783,0.512900356,-0.019422698,0.039169181,2251,1.008757013,-0.010678578
5,-0.000627444,0.489986649,0.022542398,0.510013351,-0.022887475,0.045512443,2251,0.984922889,-0.013786203
6,-0.000939957,0.50222618,0.024541631,0.49777382,-0.026649465,0.050057764,2251,0.920905176,-0.018777443
7,-0.001126765,0.497995546,0.026707211,0.502004454,-0.028738464,0.052761423,2251,0.929319359,-0.021355846
8,-0.001218296,0.501336898,0.029210094,0.498663102,-0.03180984,0.056662199,2251,0.918272271,-0.021501028
9,-0.001493126,0.502897905,0.031136463,0.497102095,-0.03450315,0.059727216,2251,0.902423768,-0.024999095
10,-0.001761963,0.491079393,0.033237793,0.508920607,-0.035534734,0.061970298,2251,0.935360666,-0.028432386
11,-0.00206309,0.48951361,0.034816836,0.51048639,-0.037427845,0.063879112,2251,0.930238863,-0.032296793
12,-0.002373288,0.499553571,0.035250536,0.500446429,-0.039929986,0.066021419,2251,0.88280862,-0.035947241
13,-0.002514761,0.483698079,0.037125992,0.516301921,-0.039652249,0.066957863,2251,0.936289694,-0.03755737
14,-0.002741351,0.488829312,0.03743465,0.511170688,-0.041161408,0.068156506,2251,0.909459896,-0.040221415
15,-0.003041417,0.49262405,0.038057296,0.50737595,-0.04294519,0.070461273,2251,0.886182969,-0.043164381
16,-0.003273937,0.48568873,0.039355932,0.51431127,-0.043531361,0.071968259,2251,0.90408227,-0.045491403
17,-0.003483496,0.490380313,0.039724918,0.509619687,-0.045060687,0.07288489,2251,0.881587033,-0.047794485
18,-0.003690637,0.495076097,0.040039851,0.504923903,-0.046568226,0.074580491,2251,0.859810524,-0.049485292
19,-0.004058785,0.491715181,0.039981198,0.508284819,-0.046663104,0.075053098,2251,0.856805369,-0.054078852
20,-0.004257903,0.495071685,0.039839944,0.504928315,-0.047494923,0.075936647,2251,0.838825313,-0.056071786
21,-0.00448037,0.489018377,0.040967741,0.510981623,-0.04797501,0.077092584,2251,0.853939188,-0.058116746
22,-0.004667094,0.47309417,0.043019199,0.52690583,-0.047483298,0.078254981,2251,0.905985919,-0.059639578
